Mes,Nuevos,Cancelados,Activos,MRR,Costos_Fijos,Infra,Publicidad,Personal,Impuestos,Flujo,Balance_Acum
0,0,0,0,0,0,0,0,0,0.00,-10000.00,-10000.00
1,7,0,7,210,300,100,500,0,0.00,-690.00,-10690.00
2,9,0,16,480,300,100,500,0,0.00,-420.00,-11110.00
3,11,0,27,810,300,118,500,300,0.00,-408.00,-11518.00
4,13,1,39,1170,300,118,500,300,0.00,-48.00,-11566.00
5,15,1,53,1590,300,136,500,600,8.10,45.90,-11520.10
6,17,2,68,2040,300,136,500,600,75.60,428.40,-11091.70
7,19,2,85,2550,300,154,500,600,149.40,846.60,-10245.10
8,21,3,103,3090,300,172,500,1400,107.70,610.30,-9634.80
9,23,3,123,3690,300,172,500,1400,197.70,1120.30,-8514.50
10,25,4,144,4320,300,190,500,1400,289.50,1640.50,-6874.00
11,27,4,167,5010,300,208,500,1400,390.30,2211.70,-4662.30
12,29,5,191,5730,300,226,500,1400,495.60,2808.40,-1853.90
