Mes,Nuevos,Cancelados,Activos,MRR,Costos_Fijos,Infra,Publicidad,Personal,Impuestos,Flujo,Balance_Acum
0,0,0,0,0,0,0,0,0,0.00,-10000.00,-10000.00
1,2,0,2,60,250,100,200,0,0.00,-490.00,-10490.00
2,2,0,4,120,250,100,200,0,0.00,-430.00,-10920.00
3,2,0,6,180,250,100,200,0,0.00,-370.00,-11290.00
4,2,1,7,210,250,100,200,0,0.00,-340.00,-11630.00
5,2,1,8,240,250,100,200,0,0.00,-310.00,-11940.00
6,2,1,9,270,250,100,200,0,0.00,-280.00,-12220.00
7,2,1,10,300,250,100,200,0,0.00,-250.00,-12470.00
8,2,1,11,330,250,100,200,0,0.00,-220.00,-12690.00
9,2,1,12,360,250,100,200,0,0.00,-190.00,-12880.00
10,2,1,13,390,250,100,200,0,0.00,-160.00,-13040.00
11,2,2,13,390,250,100,200,0,0.00,-160.00,-13200.00
12,2,2,13,390,250,100,200,0,0.00,-160.00,-13360.00
